lat,lon,color
34.45025,-82.56786,red
34.45195,-94.60042,orange
34.47,-92.58,orange
34.47091,-86.56954,blue
34.475,-111.08,green
34.4826,-85.10299,red
34.48287,-84.5136,red
34.4881,-86.6333,red
34.49108,-94.49968,orange
34.495,-96.972,orange
34.50572,-95.12156,orange
34.50917,-77.53445,orange
34.515,-111.375,orange
34.52414,-82.38998,red
34.52436,-94.91928,green
34.52473,-92.70348,green
34.52667,-94.70278,orange
34.5287,-79.26708,orange
34.53167,-92.40778,green
34.53654,-81.70052,blue
34.53784,-77.50434,red
34.53889,-94.93722,blue
34.5422,-86.66465,orange
34.55,-113.46,red
34.55056,-92.34083,orange
34.55154,-112.5421,red
34.55946,-86.59747,orange
34.56327,-85.79889,blue
34.56384,-92.22704,green
34.56444,-92.58667,orange
34.575,-111.4,red
34.59,-80.3891,orange
34.59583,-94.55944,orange
34.6,-109.44,blue
34.6021,-95.11875,orange
34.60665,-120.0023,orange
34.60905,-88.19894,blue
34.61361,-94.84861,blue
34.6167,-118.4333,red
34.625,-119.2916,red
34.62689,-85.42266,orange
34.62944,-98.62833,blue
34.64145,-83.80404,red
34.6423,-83.4192,red
34.64583,-94.575,blue
34.6527,-84.0354,red
34.65375,-83.11639,red
34.66005,-85.4034,red
34.66029,-85.39171,orange
34.66255,-83.76585,blue
34.66363,-118.4538,blue
34.66467,-83.71705,green
34.672,-83.714,orange
34.67245,-111.7099,red
34.6802,-87.00665,orange
34.68319,-83.69085,orange
34.689,-94.7325,green
34.6894,-77.2914,orange
34.695,-94.685,orange
34.69895,-85.34145,blue
34.7,-112.05,blue
34.70107,-83.6746,blue
34.70112,-87.77686,blue
34.70157,-83.45181,green
34.70435,-84.2269,red
34.7064,-83.8329,green
34.70694,-94.45417,red
34.71139,-86.6575,blue
34.71425,-83.62215,blue
34.72195,-94.96639,orange
34.73139,-86.97057,red
34.73147,-92.75093,orange
34.73153,-99.81514,green
34.7325,-86.52105,red
34.73389,-119.9254,green
34.735,-88.26655,blue
34.73966,-94.7264,red
34.74338,-94.7297,blue
34.74775,-83.48067,green
34.75139,-95.04778,orange
34.7576,-77.5873,red
34.76134,-98.61497,orange
34.76666,-118.5834,orange
34.7673,-83.77811,green
34.7706,-111.8907,red
34.77525,-85.3297,orange
34.78035,-83.78375,orange
34.78052,-77.85507,orange
34.787,-91.735,orange
34.78833,-94.70667,green
34.79914,-77.10508,green
34.80405,-87.50905,orange
34.81182,-84.3453,blue
34.81417,-95.65417,red
34.8146,-94.66875,orange
34.8155,-84.58501,orange
34.8243,-84.72352,blue
34.84161,-83.94456,green
34.84167,-94.63111,red
34.85324,-92.25454,blue
34.86111,-96.66528,orange
34.86535,-92.3575,blue
34.87,-92.12,red
34.8804,-83.31311,orange
34.88111,-91.08056,orange
34.8983,-84.6216,green
34.8986,-87.95277,green
34.90831,-110.8403,blue
34.92333,-95.26167,green
34.92336,-92.30519,orange
34.9263,-87.02025,red
34.92684,-92.30753,orange
34.92855,-87.1105,green
34.93243,-101.667,orange
34.94325,-83.18237,blue
34.9533,-81.56005,green
34.95605,-86.4559,blue
34.9575,-98.31556,green
34.96295,-111.5228,red
34.97181,-90.95902,red
35.0,-99.0,red
35.00278,-95.34111,red
35.0055,-89.3808,orange
35.01305,-82.7962,orange
35.0194,-90.32,red
35.0228,-87.2352,green
35.0271,-94.66875,green
35.0554,-79.88049,orange
35.06144,-93.45042,orange
35.07,-91.97,green
35.08344,-98.24586,green
35.09,-111.7,red
35.09306,-94.356,red
35.1013,-84.3046,orange
35.10278,-98.34056,red
35.10486,-83.23206,blue
35.10615,-86.46987,orange
35.11417,-86.465,red
35.129,-84.8215,green
35.12931,-118.3302,blue
35.1312,-79.11128,red
35.1394,-111.6259,green
35.14639,-90.18444,blue
35.148,-81.861,red
35.14947,-81.60892,orange
35.15193,-93.42848,red
35.1685,-82.488,orange
35.175,-109.25,red
35.1759,-94.0679,orange
35.17748,-118.625,green
35.18083,-79.21278,orange
